Records: 20000	 1 byte(s)	 copy	 sys	 SYSTEM: 0.040000	USER: 0.050000
Records: 20000	 1 byte(s)	 copy	 lib	 SYSTEM: 0.010000	USER: 0.030000
Records: 20000	 1 byte(s)	 sort	 sys	 SYSTEM: 6.150000	USER: 5.370000
Records: 20000	 1 byte(s)	 sort	 lib	 SYSTEM: 3.790000	USER: 1.980000
Records: 30000	 1 byte(s)	 copy	 sys	 SYSTEM: 0.040000	USER: 0.100000
Records: 30000	 1 byte(s)	 copy	 lib	 SYSTEM: 0.020000	USER: 0.060000
Records: 30000	 1 byte(s)	 sort	 sys	 SYSTEM: 13.710000	USER: 11.470000
Records: 30000	 1 byte(s)	 sort	 lib	 SYSTEM: 8.620000	USER: 3.930000
Records: 50000	 4 byte(s)	 copy	 sys	 SYSTEM: 0.080000	USER: 0.160000
Records: 50000	 4 byte(s)	 copy	 lib	 SYSTEM: 0.040000	USER: 0.080000
Records: 50000	 4 byte(s)	 sort	 sys	 SYSTEM: 1.940000	USER: 2.390000
Records: 50000	 4 byte(s)	 sort	 lib	 SYSTEM: 2.350000	USER: 2.390000
Records: 100000	 4 byte(s)	 copy	 sys	 SYSTEM: 0.170000	USER: 0.320000
Records: 100000	 4 byte(s)	 copy	 lib	 SYSTEM: 0.100000	USER: 0.160000
Records: 100000	 4 byte(s)	 sort	 sys	 SYSTEM: 3.600000	USER: 4.710000
Records: 100000	 4 byte(s)	 sort	 lib	 SYSTEM: 4.450000	USER: 4.520000
Records: 50000	 512 byte(s)	 copy	 sys	 SYSTEM: 0.090000	USER: 0.180000
Records: 50000	 512 byte(s)	 copy	 lib	 SYSTEM: 0.040000	USER: 0.110000
Records: 50000	 512 byte(s)	 sort	 sys	 SYSTEM: 1.960000	USER: 2.700000
Records: 50000	 512 byte(s)	 sort	 lib	 SYSTEM: 2.840000	USER: 3.210000
Records: 100000	 512 byte(s)	 copy	 sys	 SYSTEM: 0.160000	USER: 0.480000
Records: 100000	 512 byte(s)	 copy	 lib	 SYSTEM: 0.130000	USER: 0.260000
Records: 100000	 512 byte(s)	 sort	 sys	 SYSTEM: 4.330000	USER: 5.700000
Records: 100000	 512 byte(s)	 sort	 lib	 SYSTEM: 5.420000	USER: 6.140000
Records: 50000	 1024 byte(s)	 copy	 sys	 SYSTEM: 0.070000	USER: 0.260000
Records: 50000	 1024 byte(s)	 copy	 lib	 SYSTEM: 0.080000	USER: 0.130000
Records: 50000	 1024 byte(s)	 sort	 sys	 SYSTEM: 1.890000	USER: 2.550000
Records: 50000	 1024 byte(s)	 sort	 lib	 SYSTEM: 2.680000	USER: 3.310000
Records: 100000	 1024 byte(s)	 copy	 sys	 SYSTEM: 0.190000	USER: 0.390000
Records: 100000	 1024 byte(s)	 copy	 lib	 SYSTEM: 0.150000	USER: 0.230000
Records: 100000	 1024 byte(s)	 sort	 sys	 SYSTEM: 3.950000	USER: 5.850000
Records: 100000	 1024 byte(s)	 sort	 lib	 SYSTEM: 6.140000	USER: 7.560000
Records: 50000	 4096 byte(s)	 copy	 sys	 SYSTEM: 0.130000	USER: 0.310000
Records: 50000	 4096 byte(s)	 copy	 lib	 SYSTEM: 0.150000	USER: 0.320000
Records: 50000	 4096 byte(s)	 sort	 sys	 SYSTEM: 1.950000	USER: 3.560000
Records: 50000	 4096 byte(s)	 sort	 lib	 SYSTEM: 3.240000	USER: 4.560000
Records: 100000	 4096 byte(s)	 copy	 sys	 SYSTEM: 0.170000	USER: 0.730000
Records: 100000	 4096 byte(s)	 copy	 lib	 SYSTEM: 0.270000	USER: 0.750000
Records: 100000	 4096 byte(s)	 sort	 sys	 SYSTEM: 4.090000	USER: 7.280000
Records: 100000	 4096 byte(s)	 sort	 lib	 SYSTEM: 6.570000	USER: 9.920000
Records: 50000	 8192 byte(s)	 copy	 sys	 SYSTEM: 0.160000	USER: 0.520000
Records: 50000	 8192 byte(s)	 copy	 lib	 SYSTEM: 0.160000	USER: 0.600000
Records: 50000	 8192 byte(s)	 sort	 sys	 SYSTEM: 2.380000	USER: 5.050000
Records: 50000	 8192 byte(s)	 sort	 lib	 SYSTEM: 3.330000	USER: 6.370000
Records: 100000	 8192 byte(s)	 copy	 sys	 SYSTEM: 0.260000	USER: 1.010000
Records: 100000	 8192 byte(s)	 copy	 lib	 SYSTEM: 0.320000	USER: 0.960000
Records: 100000	 8192 byte(s)	 sort	 sys	 SYSTEM: 4.080000	USER: 8.680000
Records: 100000	 8192 byte(s)	 sort	 lib	 SYSTEM: 5.930000	USER: 11.070000
